Route,lat,lon,elevation
537,-2.50689,-78.15517,
538,-2.51048,-78.1551,
539,-2.51063,-78.15509,
540,-2.51073,-78.15509,
541,-2.51085,-78.15508,
542,-2.51102,-78.15508,
543,-2.51115,-78.15508,
544,-2.51127,-78.15508,
545,-2.5114,-78.1551,
546,-2.51155,-78.15511,
547,-2.51178,-78.15517,
548,-2.51211,-78.15525,
549,-2.51227,-78.1553,
550,-2.51246,-78.15535,
551,-2.51268,-78.1554,
552,-2.51286,-78.15545,
553,-2.51304,-78.15548,
554,-2.51342,-78.15552,
555,-2.51458,-78.15554,
556,-2.51498,-78.15554,
557,-2.51515,-78.15555,
558,-2.51537,-78.15556,
559,-2.5156,-78.15557,
560,-2.51588,-78.15559,
561,-2.51627,-78.15561,
562,-2.51661,-78.15562,
563,-2.51757,-78.15564,
564,-2.51795,-78.15566,
565,-2.51822,-78.15567,
566,-2.51841,-78.15567,
567,-2.52192,-78.15578,
568,-2.52277,-78.15588,
569,-2.52369,-78.15622,
570,-2.52482,-78.15674,
571,-2.52562,-78.15728,
572,-2.52771,-78.15877,
573,-2.52832,-78.15924,
574,-2.52832,-78.15924,
575,-2.52833,-78.15993,
576,-2.52833,-78.16027,
577,-2.52835,-78.16065,
578,-2.52837,-78.16149,
579,-2.52839,-78.16201,
580,-2.52843,-78.16234,
581,-2.52849,-78.16251,
582,-2.52859,-78.16267,
583,-2.52869,-78.16279,
584,-2.52881,-78.1629,
585,-2.52917,-78.16311,
586,-2.53044,-78.16385,
587,-2.53167,-78.16458,
588,-2.53271,-78.16518,
589,-2.53324,-78.16563,
590,-2.53399,-78.16648,
591,-2.53427,-78.16677,
592,-2.53461,-78.16716,
593,-2.5347,-78.16724,
594,-2.53496,-78.16729,
595,-2.53612,-78.16731,
596,-2.53725,-78.16733,
597,-2.54132,-78.16743,
598,-2.54184,-78.16747,
599,-2.54237,-78.16769,
600,-2.54298,-78.1681,
601,-2.54349,-78.16834,
602,-2.54423,-78.16853,
603,-2.54497,-78.16886,
604,-2.54513,-78.16897,
605,-2.54528,-78.16911,
606,-2.54547,-78.16925,
607,-2.54615,-78.16961,
608,-2.54684,-78.16981,
609,-2.54855,-78.17019,
610,-2.5487,-78.17022,
611,-2.54982,-78.17029,
612,-2.55327,-78.17021,
613,-2.55662,-78.16998,
614,-2.55769,-78.16993,
615,-2.55795,-78.16995,
616,-2.55818,-78.17001,
617,-2.55869,-78.17021,
618,-2.55959,-78.17087,
619,-2.55999,-78.17112,
620,-2.56091,-78.17145,
621,-2.56197,-78.17178,
622,-2.56766,-78.1736,
623,-2.56952,-78.17419,
624,-2.57065,-78.17461,
625,-2.57329,-78.17607,
626,-2.57352,-78.1762,
627,-2.57393,-78.17641,
628,-2.57435,-78.17659,
629,-2.57493,-78.1767,
630,-2.57565,-78.17682,
631,-2.57571,-78.17684,
632,-2.5767,-78.17703,
633,-2.57734,-78.17718,
634,-2.5799,-78.17769,
635,-2.58017,-78.17773,
636,-2.58086,-78.17784,
637,-2.58296,-78.17798,
638,-2.59447,-78.17973,
639,-2.59548,-78.17994,
640,-2.59572,-78.18003,
641,-2.59749,-78.18061,
642,-2.59838,-78.18068,
643,-2.59861,-78.18074,
644,-2.59881,-78.18088,
645,-2.59944,-78.18227,
646,-2.59946,-78.18257,
647,-2.59933,-78.18279,
648,-2.59864,-78.1832,
649,-2.59828,-78.18358,
650,-2.59805,-78.18377,
651,-2.59777,-78.1838,
652,-2.59712,-78.18363,
653,-2.59699,-78.18364,
654,-2.59689,-78.18368,
655,-2.5968,-78.18378,
656,-2.59674,-78.18392,
657,-2.59674,-78.1841,
658,-2.59677,-78.18421,
659,-2.59684,-78.18428,
660,-2.59806,-78.18464,
661,-2.59884,-78.18503,
662,-2.59909,-78.18516,
663,-2.59921,-78.18528,
664,-2.59927,-78.18542,
665,-2.59927,-78.18557,
666,-2.59918,-78.18583,
667,-2.59905,-78.18615,
668,-2.59902,-78.18633,
669,-2.59902,-78.18646,
670,-2.59904,-78.18656,
671,-2.59908,-78.18665,
672,-2.59914,-78.18671,
673,-2.59923,-78.18678,
674,-2.59937,-78.18682,
675,-2.60078,-78.18694,
676,-2.60099,-78.18699,
677,-2.60122,-78.18706,
678,-2.6014,-78.18715,
679,-2.60164,-78.18729,
680,-2.60239,-78.18787,
681,-2.60341,-78.18872,
682,-2.60374,-78.18914,
683,-2.60382,-78.18924,
684,-2.60389,-78.18932,
685,-2.60395,-78.18937,
686,-2.60411,-78.18946,
687,-2.60432,-78.18953,
688,-2.60525,-78.18979,
689,-2.60546,-78.18983,
690,-2.60562,-78.18984,
691,-2.60577,-78.18981,
692,-2.60589,-78.18977,
693,-2.60602,-78.18971,
694,-2.60662,-78.18939,
695,-2.60687,-78.18932,
696,-2.60708,-78.1893,
697,-2.60729,-78.18933,
698,-2.6075,-78.18938,
699,-2.60768,-78.18948,
700,-2.60792,-78.18967,
701,-2.60827,-78.19006,
702,-2.60834,-78.19021,
703,-2.60839,-78.1904,
704,-2.6084,-78.19058,
705,-2.60827,-78.19281,
706,-2.60827,-78.19329,
707,-2.60829,-78.19348,
708,-2.60842,-78.19425,
709,-2.60854,-78.19481,
710,-2.60858,-78.19492,
711,-2.60864,-78.19505,
712,-2.60874,-78.1952,
713,-2.60886,-78.19533,
714,-2.60903,-78.19547,
715,-2.60918,-78.19556,
716,-2.60938,-78.19568,
717,-2.61071,-78.1962,
718,-2.61164,-78.19658,
719,-2.61327,-78.19724,
720,-2.61343,-78.19732,
721,-2.61343,-78.19732,
722,-2.61453,-78.19859,
723,-2.61615,-78.20083,
724,-2.6162,-78.20089,
725,-2.61633,-78.20103,
726,-2.61649,-78.20115,
727,-2.61659,-78.20122,
728,-2.6167,-78.20127,
729,-2.61686,-78.20134,
730,-2.61708,-78.2014,
731,-2.61986,-78.20199,
732,-2.62006,-78.20202,
733,-2.62037,-78.20203,
734,-2.62074,-78.20204,
735,-2.62114,-78.20204,
736,-2.62245,-78.20204,
737,-2.62358,-78.20204,
738,-2.62428,-78.20204,
739,-2.62533,-78.20206,
740,-2.626,-78.20209,
741,-2.62614,-78.20211,
742,-2.62624,-78.20214,
743,-2.62638,-78.20219,
744,-2.62652,-78.20225,
745,-2.62665,-78.20234,
746,-2.62741,-78.20305,
747,-2.62757,-78.20319,
748,-2.62776,-78.20332,
749,-2.62797,-78.20344,
750,-2.62819,-78.20355,
751,-2.6284,-78.20363,
752,-2.62863,-78.20369,
753,-2.62891,-78.20375,
754,-2.63191,-78.20411,
755,-2.63599,-78.20458,
756,-2.63684,-78.20468,
757,-2.63691,-78.20468,
758,-2.63706,-78.2047,
759,-2.63729,-78.20474,
760,-2.63774,-78.2048,
761,-2.63845,-78.20485,
762,-2.63871,-78.20484,
763,-2.63901,-78.2048,
764,-2.63921,-78.20476,
765,-2.63936,-78.20472,
766,-2.64097,-78.20422,
767,-2.64129,-78.20413,
768,-2.64152,-78.20409,
769,-2.6417,-78.20405,
770,-2.6419,-78.20404,
771,-2.64205,-78.20404,
772,-2.64229,-78.20407,
773,-2.64279,-78.20418,
774,-2.64367,-78.20446,
775,-2.6446,-78.20487,
776,-2.64895,-78.20701,
777,-2.64924,-78.20713,
778,-2.64945,-78.20719,
779,-2.64976,-78.20723,
780,-2.65,-78.20722,
781,-2.65025,-78.20717,
782,-2.65049,-78.2071,
783,-2.65095,-78.20693,
784,-2.6517,-78.20667,
785,-2.65189,-78.20664,
786,-2.65214,-78.20665,
787,-2.65244,-78.20673,
788,-2.6556,-78.20788,
789,-2.65658,-78.20824,
790,-2.65671,-78.2083,
791,-2.65683,-78.20838,
792,-2.65695,-78.20849,
793,-2.65703,-78.2086,
794,-2.65711,-78.20875,
795,-2.65714,-78.20885,
796,-2.65715,-78.20893,
797,-2.65716,-78.20906,
798,-2.65716,-78.20921,
799,-2.65715,-78.20944,
800,-2.65713,-78.2099,
801,-2.65713,-78.21012,
802,-2.65715,-78.21035,
803,-2.6572,-78.21071,
804,-2.65723,-78.21087,
805,-2.65726,-78.21095,
806,-2.65729,-78.21103,
807,-2.65734,-78.21112,
808,-2.6574,-78.21118,
809,-2.65746,-78.21123,
810,-2.65755,-78.21128,
811,-2.65763,-78.2113,
812,-2.65774,-78.21131,
813,-2.65784,-78.2113,
814,-2.65793,-78.21126,
815,-2.65801,-78.2112,
816,-2.65807,-78.21112,
817,-2.65815,-78.21098,
818,-2.65827,-78.21077,
819,-2.65839,-78.2106,
820,-2.65848,-78.21048,
821,-2.65869,-78.21016,
822,-2.6589,-78.20981,
823,-2.65907,-78.20956,
824,-2.65924,-78.20935,
825,-2.65962,-78.20898,
826,-2.66047,-78.20825,
827,-2.66076,-78.20803,
828,-2.66094,-78.20792,
829,-2.66103,-78.20788,
830,-2.66112,-78.20786,
831,-2.66129,-78.20784,
832,-2.66139,-78.20784,
833,-2.66153,-78.20787,
834,-2.66167,-78.2079,
835,-2.66183,-78.20799,
836,-2.662,-78.20811,
837,-2.66379,-78.20945,
838,-2.66389,-78.20951,
839,-2.66403,-78.20958,
840,-2.66418,-78.20964,
841,-2.66436,-78.20967,
842,-2.66468,-78.20969,
